loss,acc,val_loss,val_acc,lr
24.70433807373047,0.5302810072898865,14.71666431427002,0.6237183809280396,0.001
11.631437301635742,0.5723925828933716,9.120150566101074,0.6192754507064819,0.001
7.4745893478393555,0.5815324187278748,6.068541526794434,0.6203007698059082,0.001
5.110103607177734,0.5911847352981567,4.245923042297363,0.6267942786216736,0.001
3.6563880443573,0.5876826047897339,3.1015825271606445,0.6247437000274658,0.001
2.709806442260742,0.5978474617004395,2.331228017807007,0.6230348348617554,0.001
2.0751516819000244,0.5999829173088074,1.8253034353256226,0.6073137521743774,0.001
1.643557071685791,0.6021183729171753,1.464829683303833,0.6138072609901428,0.001
1.349361777305603,0.6020329594612122,1.2100579738616943,0.6233766078948975,0.001
1.1341681480407715,0.5992995500564575,1.0333079099655151,0.6254271864891052,0.001
0.9867770075798035,0.6007516980171204,0.9250271916389465,0.6052631735801697,0.001
0.884663462638855,0.6038267612457275,0.8467973470687866,0.5970608592033386,0.001
0.8129830956459045,0.6032288670539856,0.7810782790184021,0.6185919046401978,0.001
0.7623098492622375,0.6063893437385559,0.7847772836685181,0.5375939607620239,0.001
0.7273470163345337,0.6124541163444519,0.7294543981552124,0.5953519940376282,0.001
0.7068049311637878,0.6063893437385559,0.7172926068305969,0.5751879811286926,0.001
0.690410852432251,0.612539529800415,0.708321213722229,0.5683526992797852,0.001
0.6761952042579651,0.6136499643325806,0.6959148645401001,0.5871496796607971,0.001
0.6712160110473633,0.6150166392326355,0.6974105834960938,0.5577580332756042,0.001
0.6628861427307129,0.617664635181427,0.6579787135124207,0.6247437000274658,0.001
