loss,acc,val_loss,val_acc
13.095742225646973,0.5373708009719849,4.514575004577637,0.5334928035736084
3.9610488414764404,0.5617151856422424,3.508193016052246,0.5283663868904114
3.1931824684143066,0.5623131394386292,2.8863086700439453,0.49794942140579224
2.6309754848480225,0.5821303725242615,2.4166786670684814,0.5526315569877625
2.225181818008423,0.5825574398040771,2.0468153953552246,0.5809979438781738
1.9010611772537231,0.586999237537384,1.766953468322754,0.5700615048408508
1.6415225267410278,0.5994703769683838,1.5524263381958008,0.5317839980125427
1.423629879951477,0.6078414916992188,1.349420189857483,0.5871496796607971
1.2513556480407715,0.616127073764801,1.2229359149932861,0.5475051403045654
1.1090325117111206,0.6188604831695557,1.0557247400283813,0.6175666451454163
